20MICRONS,INDUSTRIAL MINERALS,MINING & MINERALS
IOLCP,Chemicals,Chemicals subtype Inorganic subtype Others
IPAPPM,Paper,Paper & Paper Boards
IPCALAB,Pharmaceuticals,Pharmaceuticals
IRB,Construction,Construction & Contracting subtype Civil
ISFT,Computers,IT Enabled Services
ISMTLTD,Steel,Steel subtype Rolling
ITC,Cigarettes,Cigarettes
ITDC,NA,NA
ITDCEM,Construction,Construction & Contracting subtype Civil
ITI,Telecom,Telecommunications subtype Equipment
IVC,Finance,Finance subtype Investments
IVP,Misc,Vanaspati
IVRCLINFRA,Construction,Construction & Contracting subtype Civil
IZMO,Computers, Medium  Small
J&KBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
JAGRAN,Printing,Printing Publishing Stationery
JAGSNPHARM,Pharmaceuticals,Pharmaceuticals
JAIBALAJI,Steel,Steel subtype Sponge Iron
JAICORPLTD,Steel,Steel subtype GP GC Sheets
JAMNAAUTO,Auto Ancl,Auto Ancl subtype Susp. & Braking subtype Springs
JAYAGROGN,Chemicals,Chemicals subtype Speciality subtype Others
JAYBARMARU,Auto Ancl,Auto Ancl subtype Others
JAYNECOIND,Castings,Castings Foundry
JAYSREETEA,Tea subtype Coffee,Plantations subtype Tea & Coffee
JBCHEPHARM,Pharmaceuticals,Pharmaceuticals
JBFIND,Textiles,Textiles subtype Manmade Fibre subtype PFY PSF
JBMA,Auto Ancl,Auto Ancl subtype Others
JCHAC,NA,NA
JETAIRWAYS,Transport,Transport subtype Air
JINDALPOLY,Packaging,Packaging subtype Others
JINDALSAW,Steel,Steel subtype Tubes Pipes
JINDALSTEL,Steel,Steel subtype Sponge Iron
JINDCOT,Textiles,Textiles subtype General
JINDRILL,Oil Drilling,Drilling Exploration
JINDWORLD,Textiles,Textiles subtype General
JISLDVREQS,Plastics,Plastics subtype Others
JISLJALEQS,Misc,Drip Irrigation Systems
JKCEMENT,Cement,Major
JKIL,Construction,Construction & Contracting subtype Civil
JKLAKSHMI,Cement,Major
JKPAPER,Paper,Paper & Paper Boards
JKTYRE,Auto Ancl,Tyres & Tubes
JMA,Auto Ancl,Auto Ancl subtype Others
JMCPROJECT,Construction,Construction & Contracting subtype Civil
JMFINANCIL,Finance,Finance subtype Investments
JMTAUTOLTD,Auto Ancl,Auto Ancl subtype Gears & Drive
JOCIL,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
JPASSOCIAT,Construction,Construction & Contracting subtype Civil
JPINFRATEC,Construction,Construction & Contracting subtype Civil
JPOLYINVST,Finance,Finance subtype Investments
JPPOWER,Power,Generation Distribution
JSL,Steel,Steel subtype Alloys Special
JSLHISAR,NA,NA
JSWENERGY,Power,Generation Distribution
JSWHL,Finance,Finance subtype Investments
JSWSTEEL,Steel,Steel
JUBILANT,Pharmaceuticals,Pharmaceuticals
JUBLFOOD,Food Processing,Food Processing subtype Miscellaneous
JUBLINDS,Agro,Pesticides Agro Chemicals
JUNIORBEES,ETF,Junior Nifty
JUSTDIAL,Misc,Miscellaneous
JVLAGRO,Edible Oils,Edible Oils & Solvent Extraction
JYOTHYLAB,FMCG,Personal Care
JYOTISTRUC,Power,Power subtype Transmission Equipment
KABRAEXTRU,Engineering,Heavy
KAJARIACER,Ceramics,Ceramics Tiles Sanitaryware
KAKATCEM,Cement,Cement subtype Mini
KALPATPOWR,Power,Power subtype Transmission Equipment
KAMATHOTEL,Hotels,Hotels
KAMDHENU,NA,NA
KANANIIND,Jewellery,Diamond Cutting Precious Metals Jewellery
KANORICHEM,Chemicals,Chemicals subtype Inorganic subtype Caustic Soda Soda Ash
KANSAINER,Paints,Paints Varnishes
KARMAENG,Power,Generation Distribution
KARURVYSYA,Banks subtype Private,Finance subtype Banks subtype Private Sector
KAUSHALYA,Construction,Construction & Contracting subtype Civil
KAVVERITEL,Telecom,Telecommunications subtype Equipment
KAYA,Personal Care,Indian
KCP,Cement,Cement subtype Mini
KCPSUGIND,Sugar,Sugar subtype Others
KDDL,NA,NA
KEC,Power,Power subtype Transmission Equipment
KECL,Electric,Electric Equipment subtype General
KEI,Cables,Cables subtype Power Others
KELLTONTEC,Computers, Medium  Small
KESARENT,Sugar,Sugar subtype Integrated
KESORAMIND,Diversified,Diversified
KEYCORPSER,Finance,Finance subtype General
KGL,Misc,Floriculture
KHANDSE,Finance,Finance subtype General
KICL,Finance,Finance subtype Investments
KINGFA,NA,NA
KIOCL,NA,NA
KIRIINDUS,Dyes,Dyes & Pigments
KIRLOSBROS,Misc,Pumps
KIRLOSENG,Engines,Engines
KIRLOSIND,Engines,Engines
KITEX,Textiles,Products
KKCL,Retail,Retail subtype Apparel Accessories
KMSUGAR,Sugar,Sugar subtype Others
KNRCON,Construction,Construction & Contracting subtype Civil
KOHINOOR,Commodities,Commodities subtype Trading subtype Rice
KOKUYOCMLN,Printing,Printing Publishing Stationery
KOLTEPATIL,Construction,Construction & Contracting subtype Housing
KOPRAN,Pharmaceuticals,Pharmaceuticals
KOTAKBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
KOTAKGOLD,ETF,Gold
KOTAKNIFTY,ETF,Nifty
KOTAKPSUBK,ETF,CNX PSU Bank Index
KOTARISUG,Sugar,Sugar subtype Integrated
KOTHARIPET,Trading,Trading
KOTHARIPRO,Misc,Pan Masala Tobbacco Products
KPIT,Computers,Software
KPRMILL,Textiles,Textiles subtype Readymade Apparels
KRBL,Commodities,Commodities subtype Trading subtype Rice
KSBPUMPS,Misc,Pumps
KSCL,Misc,Seeds Tissue Culture Bio Technology
KSL,Steel,Medium   Small
KTIL,Misc,Storage
KTKBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
KWALITY,Food Processing,Food Processing subtype Dairy
L&TFH,Finance,Finance subtype Investments
LAKPRE,Misc,Fasteners
LAKSHMIEFL,Commodities,Commodities subtype Trading subtype Rice
LAKSHVILAS,Banks subtype Private,Finance subtype Banks subtype Private Sector
LALPATHLAB,Healthcare,Healthcare
LAMBODHARA,Textiles,Textiles subtype Spinning subtype Cotton Blended
LAOPALA,Glass,Glass subtype Others
LAURUSLABS,NA,NA
LAXMIMACH,Textiles,Textiles subtype Machinery
LGBBROSLTD,Engineering,General
LIBERTSHOE,Leather,Leather Synthetic subtype Footwear
LICHSGFIN,Finance,Finance subtype Housing
LINCOLN,Pharmaceuticals,Formulations
LINCPEN,Printing,Printing Publishing Stationery
LINDEINDIA,Chemicals,Chemicals
LIQUIDBEES,ETF,Government Securities
LITL,Infrastructure,Infrastructure subtype General
LLOYDELENG,Air Conditioners,Air Conditioners
LML,Auto,Auto subtype 2 & 3 Wheelers
LOKESHMACH,Misc,Machine Tools
LOTUSEYE,Medical,Hospitals & Medical Services
LOVABLE,Textiles,Textiles subtype Readymade Apparels
LPDC,Construction,Construction and Contracting subtype Real Estate
LSIL,NA,NA
LT,Diversified,Diversified
LTI,NA,NA
LTTS,NA,NA
LUMAXIND,Auto Ancl,Auto Ancl subtype Equipment Lamp
LUMAXTECH,Auto Ancl,Auto Ancillaries
LUPIN,Pharmaceuticals,Pharmaceuticals
LUXIND,Textiles,Textiles subtype Composite Mills
LYKALABS,Pharmaceuticals,Pharmaceuticals
LYPSAGEMS,Jewellery,Diamond Cutting Precious Metals Jewellery
M&M,Auto,CarsubtypeJeepssubtypeTractors
M&MFIN,Finance,Finance subtype Leasing & Hire Purchase
MAANALU,Aluminium,Aluminium
MADHAV,Misc,Miscellaneous
MADHUCON,Construction,Construction & Contracting subtype Civil
MAGMA,Finance,Finance subtype Investments
MAGNUM,Paper,Paper & Paper Boards
MAHABANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
MAHASTEEL,NA,NA
MAHINDCIE,Castings,Castings Foundry
MAHLIFE,Construction,Construction & Contracting subtype Civil
MAHSCOOTER,Auto,Auto subtype 2 & 3 Wheelers
MAHSEAMLES,Steel,Steel subtype Seamless Tubes
MAITHANALL,Mining,Minerals   Metals
MAJESCO,Computers, Medium  Small
MALUPAPER,Paper,Paper subtype News Print
MANAKCOAT,Steel,Medium   Small
MANAKSIA,Packaging,Packaging subtype Metallic
MANAKSTEEL,Steel,Medium   Small
MANALIPETC,Petrochem,Petrochem subtype Polymers
MANAPPURAM,Finance,Finance subtype Leasing & Hire Purchase
MANDHANA,Textiles,Manmade Fibre subtype Rayon
MANGALAM,Pharmaceuticals,Bulk Drugs & Formln
MANGCHEFER,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
MANGLMCEM,Cement,Major
MANGTIMBER,Consumer Goods,Decoratives subtype Wood Based
MANINDS,Steel,Steel subtype Tubes Pipes
MANINFRA,Construction,Construction & Contracting subtype Civil
MANPASAND,Food Processing,Indian
MANUGRAPH,Engineering,General
MARALOVER,Textiles,Textiles subtype Spinning subtype Cotton Blended
MARATHON,NA,NA
MARICO,FMCG,Personal Care
MARKSANS,Pharmaceuticals,Pharmaceuticals
MARUTI,Auto,Auto subtype Cars & Jeeps
MASTEK,Computers,Software
MAWANASUG,Sugar,Sugar subtype Others
MAXINDIA,NA,NA
MAXVIL,NA,NA
MAYURUNIQ,Plastics,Products
MAZDA,NA,NA
MBECL,Engineering,Turnkey Services
MBLINFRA,Construction,Construction & Contracting subtype Civil
MCDHOLDING,NA,NA
MCDOWELLsubtypeN,Beverages,Beverages subtype Alcoholic subtype Distilleries
MCLEODRUSS,Tea subtype Coffee,Plantations subtype Tea & Coffee
MCX,Misc,Miscellaneous
MEGASOFT,Computers,Software
MEGH,Agro,Pesticides Agro Chemicals
MENONBE,NA,NA
MEP,Construction,Construction
MERCATOR,Shipping,Shipping
MERCK,Pharmaceuticals,Pharmaceuticals
METALFORGE,Castings,Castings Foundry
MFSL,Packaging,Packaging subtype Others
MGL,NA,NA
MHRIL,Hotels,Resorts
MIC,Electronics,Electronics subtype Others
MINDACORP,Auto Ancl,Auto Ancillaries
MINDAIND,Auto Ancl,Auto Ancillaries
MINDTECK,NA,NA
MINDTREE,Computers,Software
MIRCELECTR,Consumer Goods,Consumer Goods subtype Electronic
MIRZAINT,Leather,Leather Synthetic subtype Footwear
MMFL,Auto Ancl,Forgings
MMTC,Trading,Trading
MOHITIND,Textiles,Textiles subtype Processing Texturising
MOIL,NA,NA
MOLDTECH,NA,NA
MOLDTKPAC,Plastics,Products
MONNETISPA,Steel,Steel subtype Sponge Iron
MONSANTO,Agro,Pesticides Agro Chemicals
MONTECARLO,Textiles,Products
MORARJEE,Textiles,Products
MOREPENLAB,Pharmaceuticals,Pharmaceuticals
MOSERBAER,Computers,Computers subtype Accessories Peripherals
MOTHERSUMI,Auto Ancl,Auto Ancl subtype Electrical
MOTILALOFS,Finance,Finance subtype General
MPHASIS,Computers,Software
MPSLTD,Printing,Printing Publishing Stationery
MRF,Auto Ancl,Tyres & Tubes
MROsubtypeTEK,Computers,Computers subtype Hardware
MRPL,Refineries,Refineries
MSPL,Steel,Steel subtype Sponge Iron
MTEDUCARE,Misc,Miscellaneous
MTNL,Telecom,Telecommunications subtype Service
MUKANDENGG,Computers,Project Consultancy Turnkey
MUKANDLTD,Steel,Steel subtype Alloys Special
MUKTAARTS,Entertainment,Entertainment Multi Media
MUNJALAU,Auto Ancl,Auto Ancl subtype Others
MUNJALSHOW,Auto Ancl,Auto Ancl subtype Shock Absorber
MUTHOOTCAP,Finance,Finance subtype Investments
MUTHOOTFIN,Finance,Finance subtype Investments
MVL,Construction,Construction
NAGAAGRI,NA,NA
NAGAFERT,NA,NA
NAGAROIL,Refineries,Refineries
NAGREEKCAP,Finance,Finance subtype Investments
NAGREEKEXP,Textiles,Textiles subtype Spinning subtype Cotton Blended
NAHARCAP,Finance,Finance subtype Investments
NAHARINDUS,Textiles,Textiles subtype Composite Mills
NAHARPOLY,Textiles,Textiles subtype Spinning subtype Cotton Blended
NAHARSPING,Textiles,Textiles subtype Hosiery Knitwear
NATCOPHARM,Pharmaceuticals,Pharmaceuticals
NATHBIOGEN,Misc,Miscellaneous
NATIONALUM,Aluminium,Aluminium
NAUKRI,Misc,Services subtype Others
NAVINFLUOR,Chemicals,Chemicals subtype Others
NAVKARCORP,Misc,Miscellaneous
NAVNETEDUL,Printing,Printing Publishing Stationery
NBCC,Construction,Construction
NBVENTURES,Diversified,Diversified
NCC,Construction,Construction & Contracting subtype Civil
NCLIND,Cement,Cement subtype Mini
NDGL,NA,NA
NDL,Textiles,Products
NDTV,Entertainment,Entertainment Multi Media
NECCLTD,Misc,Miscellaneous
NECLIFE,Pharmaceuticals,Pharmaceuticals
NELCAST,Castings,Castings Foundry
NELCO,Telecom,Telecommunications subtype Equipment
NESCO,Diversified,Diversified
NESTLEIND,Food Processing,Food Processing subtype Dairy
NETWORK18,Finance,Finance subtype General
NEULANDLAB,Pharmaceuticals,Pharmaceuticals
NFL,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
NH,Medical,Hospitals & Medical Services
NHPC,Power,Generation Distribution
NIBL,NA,NA
NIFTY,Index,Index
NIFTYBEES,ETF,Nifty
NIFTYINFRA,Index,Index
NIFTYIT,Index,Index
NIFTYMID50,Index,Index
NIFTYPSE,Index,Index
NIITLTD,Computers,Softwaresubtype Training
NIITTECH,Computers,Software
NILAINFRA,Construction,Construction
NILKAMAL,Plastics,Plastics subtype Others
NIPPOBATRY,Dry Cells,Dry Cells
NITCO,Ceramics,Ceramics Tiles Sanitaryware
NITESHEST,Construction,Construction
NITINFIRE,Engineering,General
NITINSPIN,Textiles,Textiles subtype Spinning subtype Cotton Blended
NKIND,NA,NA
NLCINDIA,NA,NA
NMDC,Mining,Mining Minerals
NOCIL,Petrochem,Petrochem subtype Polymers
NOIDATOLL,Construction,Construction & Contracting subtype Civil
NRAIL,NA,NA
NRBBEARING,Auto Ancl,Bearings
NSIL,Finance,Finance subtype General
NTL,NA,NA
NTPC,Power,Generation Distribution
NUCLEUS,Computers,Software
NUTEK,Telecom,Telecommunications subtype Equipment
OBEROIRLTY,Construction,Construction and Contracting subtype Real Estate
OCCL,Chemicals,Chemicals
OCL,Cement,Major
OFSS,Computers,Software
OIL,Oil Drilling,Drilling Exploration
OILCOUNTUB,Steel,Steel subtype Tubes Pipes
OMAXAUTO,Auto Ancl,Auto Ancl subtype Others
OMAXE,Construction,Construction and Contracting subtype Real Estate
OMKARCHEM,Chemicals,Chemicals
OMMETALS,NA,NA
ONGC,Oil Drilling,Drilling Exploration
ONMOBILE,Telecom,Telecommunications subtype Service
OPTOCIRCUI,Medical,Medical Accessories
ORBTEXP,NA,NA
ORCHIDPHAR,NA,NA
ORICONENT,NA,NA
ORIENTABRA,Grinding Wheels,Abrasives Grinding Wheels
ORIENTBANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
ORIENTBELL,NA,NA
ORIENTCEM,NA,NA
ORIENTHOT,Hotels,Hotels
ORIENTLTD,NA,NA
ORIENTPPR,Diversified,Diversified
ORIENTREF,NA,NA
ORISSAMINE,Mining,Mining Minerals
ORTEL,NA,NA
PAGEIND,Textiles,Textiles subtype Readymade Apparels
PANACEABIO,Pharmaceuticals,Pharmaceuticals
PANAMAPET,NA,NA
PANORAMUNI,Computers,Software
PAPERPROD,Packaging,NaN
PARABDRUGS,Pharmaceuticals,Pharmaceuticals
PARAGMILK,NA,NA
PARRYSUGAR,Diversified,Diversified
PARSVNATH,Construction,Construction and Contracting subtype Real Estate
PATELENG,Construction,Construction & Contracting subtype Civil
PATINTLOG,Transport,Transport subtype Road
PATSPINLTD,Textiles,Textiles subtype Spinning subtype Cotton Blended
PBAINFRA,Infrastructure,Infrastructure subtype General
PCJEWELLER,NA,NA
PDMJEPAPER,NA,NA
PDPL,Pharmaceuticals,Pharmaceuticals
PDSMFL,NA,NA
PDUMJEIND,Paper,Paper & Paper Boards
PDUMJEPULP,Paper,Paper & Paper Boards
PEL,NA,NA
PENIND,Steel,Steel subtype CR HR Strips
PENINLAND,Construction,Construction & Contracting subtype Housing
PENPEBS,NA,NA
PERSISTENT,Computers,Software
PETRONET,Petrochem,Petrochem subtype Others
PFC,Finance,Finance subtype Term Lending Institutions
PFIZER,Pharmaceuticals,Pharmaceuticals
PFOCUS,Entertainment,Entertainment Multi Media
PFS,NA,NA
PGEL,NA,NA
PGHH,FMCG,Personal Care
PGIL,NA,NA
PHILIPCARB,Misc,Carbon Black
PHOENIXLL,NA,NA
PHOENIXLTD,Construction,Construction and Contracting subtype Real Estate
PIDILITIND,Chemicals,Chemicals subtype Speciality subtype Others
PIIND,NA,NA
PINCON,NA,NA
PIONDIST,Beverages,Beverages subtype Alcoholic subtype Distilleries
PIONEEREMB,Textiles,Textiles subtype Hosiery Knitwear
PITTILAM,Engineering,General
PKTEA,NA,NA
PLASTIBLEN,Plastics,Plastics subtype Others
PNB,Banks subtype PSU,Finance subtype Banks subtype Public Sector
PNBGILTS,Finance,Finance subtype Investments
PNBHOUSING,NA,NA
PNCINFRA,NA,NA
POCHIRAJU,NA,NA
PODDARHOUS,NA,NA
PODDARMENT,NA,NA
POKARNA,NA,NA
POLARIS,Computers,Software
POLYMED,NA,NA
POLYPLEX,Packaging,NaN
PONNIERODE,Sugar,Sugar subtype Others
POWERGRID,Power,Power subtype Transmission Equipment
POWERMECH,NA,NA
PPAP,Plastics,Plastics subtype Others
PRABHAT,NA,NA
PRAENG,Construction,Construction & Contracting subtype Housing
PRAJIND,Engineering,Heavy
PRAKASH,Diversified,Diversified
PRAKASHCON,NA,NA
PRAKASHSTL,NA,NA
PRATIBHA,Infrastructure,Infrastructure subtype General
PRECAM,NA,NA
PRECWIRE,Metals,Metals subtype Non Ferrous subtype Copper Copper Alloys subtype Prod
PREMEXPLN,NA,NA
PREMIER,Engineering,General
PREMIERPOL,NA,NA
PRESSMN,NA,NA
PRESTIGE,NA,NA
PRICOLLTD,NA,NA
PRIMESECU,Finance,Finance subtype Investments
PRISMCEM,Cement,Major
PROVOGE,NA,NA
PROZONINTU,NA,NA
PSB,Banks subtype PSU,Finance subtype Banks subtype Public Sector
PSL,Steel,Steel subtype Tubes Pipes
PSUBNKBEES,ETF,CNX PSU Bank Index
PTC,Power,Generation Distribution
PTL,Auto Ancl,Tyres & Tubes
PUNJABCHEM,Chemicals,Chemicals subtype Organic subtype Others
PUNJLLOYD,Construction,Construction & Contracting subtype Civil
PURVA,Construction,Construction and Contracting subtype Real Estate
PVR,Entertainment,Entertainment Multi Media
QGOLDHALF,ETF,Gold
QNIFTY,ETF,Nifty
QUESS,NA,NA
QUICKHEAL,NA,NA
RADICO,Finance,Finance subtype Investments
RADIOCITY,NA,NA
RAIN,NA,NA
RAINBOWPAP,Paper,Paper & Paper Boards
RAIREKMOH,NA,NA
RAJESHEXPO,Jewellery,Diamond Cutting Precious Metals Jewellery
RAJSREESUG,Sugar,Sugar subtype Integrated
RAJTV,Entertainment,Entertainment Multi Media
RAJVIR,NA,NA
RALLIS,Agro,Pesticides Agro Chemicals
RAMANEWS,Paper,Paper subtype News Print
RAMASTEEL,NA,NA
RAMCOCEM,NA,NA
RAMCOIND,Cement,Cement subtype Products Building Materials
RAMCOSYS,Computers,Software
RAMKY,Construction,Construction & Contracting subtype Civil
RANASUG,Sugar,Sugar subtype Others
RANEENGINE,Auto Ancl,Auto Ancl subtype Engine Parts
RANEHOLDIN,Finance,Finance subtype Investments
RATNAMANI,Steel,Steel subtype Tubes Pipes
RAYMOND,Textiles,Textiles subtype Woollen Worsted
RBL,Auto Ancl,Auto Ancl subtype Susp. & Braking subtype Others
RBLBANK,NA,NA
RCF,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
RCOM,Telecom,Telecommunications subtype Service
RDEL,NA,NA
RECLTD,Finance,Finance subtype Term Lending Institutions
REDINGTON,NA,NA
REFEX,NA,NA
REIAGROLTD,Food Processing,Food Processing subtype Miscellaneous
RELAXO,NA,NA
RELCAPITAL,Finance,Finance subtype Investments
RELIANCE,Diversified,Diversified
RELIGARE,NA,NA
RELINFRA,Power,Generation Distribution
REMSONSIND,Auto Ancl,Auto Ancl subtype Susp. & Braking subtype Springs
RENUKA,Sugar,Sugar subtype Others
REPCOHOME,NA,NA
REPRO,Printing,Printing Publishing Stationery
RESPONIND,Plastics,Plastics subtype Flooring
REVATHI,Compressors,Compressors
RICOAUTO,Auto Ancl,Auto Ancl subtype Dr. Trans & Steer subtype Others
RIIL,Computers,Project Consultancy Turnkey
RJL,Jewellery,Diamond Cutting Precious Metals Jewellery
RKDL,NA,NA
RKFORGE,NA,NA
RML,NA,NA
ROHITFERRO,Misc,Ferro Alloys
ROHLTD,Hotels,Hotels
ROLLT,NA,NA
ROLTA,Computers,Software
ROSSELLIND,NA,NA
RPGLIFE,NA,NA
RPOWER,Power,Generation Distribution
RPPINFRA,Construction,Construction & Contracting subtype Civil
RSSOFTWARE,Computers,Software
RSWM,Textiles,Textiles subtype Spinning subtype Synthetic Blended
RSYSTEMS,Computers,Software
RTNINFRA,NA,NA
RTNPOWER,NA,NA
RUBYMILLS,Textiles,Textiles subtype Composite Mills
RUCHIRA,Paper,Paper subtype Kraft
RUCHISOYA,Edible Oils,Edible Oils & Solvent Extraction
RUPA,NA,NA
RUSHIL,NA,NA
SABEVENTS,NA,NA
SABTN,Entertainment,Entertainment Multi Media
SADBHAV,Construction,Construction & Contracting subtype Civil
SADBHIN,NA,NA
SAGCEM,Cement,Cement subtype Mini
SAIL,Steel,Steel
SAKHTISUG,Sugar,Sugar subtype Integrated
SAKSOFT,Computers,Software
SAKUMA,Trading,Trading
SALORAINTL,Consumer Goods,Consumer Goods subtype Electronic
SALZERELEC,NA,NA
SANDESH,Printing,Printing Publishing Stationery
SANGAMIND,Textiles,Textiles subtype Spinning subtype Synthetic Blended
SANGHIIND,Cement,Cement subtype Products Building Materials
SANGHVIFOR,NA,NA
SANGHVIMOV,Engineering,Heavy
SANOFI,NA,NA
SANWARIA,Edible Oils,Edible Oils & Solvent Extraction
SARDAEN,Steel,Steel subtype Sponge Iron
SAREGAMA,Entertainment,Entertainment Multi Media
SARLAPOLY,Textiles,Textiles subtype Processing Texturising
SASKEN,Computers,Software
SATHAISPAT,Steel,Steel subtype Pig Iron
SATIN,NA,NA
SBIN,Banks subtype PSU,Finance subtype Banks subtype Public Sector
SCHAND,NA,NA
SCHNEIDER,NA,NA
SCI,Shipping,Shipping
SDBL,NA,NA
SEAMECLTD,Shipping,Shipping
SEINV,NA,NA
SELAN,Oil Drilling,Drilling Exploration
SELMCL,Textiles,Textiles subtype General
SEPOWER,NA,NA
SEQUENT,NA,NA
SERVALL,NA,NA
SESHAPAPER,Paper,Paper & Paper Boards
SETCO,NA,NA
SFL,NA,NA
SGL,Textiles,Textiles subtype General
SHAKTIPUMP,NA,NA
SHALPAINTS,Paints,Paints Varnishes
SHANKARA,NA,NA
SHANTIGEAR,Engineering,General
SHARDACROP,NA,NA
SHARDAMOTR,NA,NA
SHARIABEES,ETF,Shariah Index
SHARONBIO,NA,NA
SHEMAROO,NA,NA
SHILPAMED,Pharmaceuticals,Pharmaceuticals
SHILPI,NA,NA
SHIRPURsubtypeG,NA,NA
SHIVAMAUTO,Auto Ancl,Auto Ancl subtype Others
SHIVTEX,Textiles,Textiles subtype Spinning subtype Cotton Blended
SHK,NA,NA
SHOPERSTOP,Retail,Retail subtype Departmental Stores
SHREECEM,Cement,Major
SHREEPUSHK,NA,NA
SHREERAMA,Packaging,Packaging subtype Others
SHREYANIND,Paper,Paper & Paper Boards
SHREYAS,Shipping,Shipping
SHRIRAMCIT,NA,NA
SHRIRAMEPC,Computers,Project Consultancy Turnkey
SHYAMCENT,NA,NA
SHYAMTEL,Telecom,Telecommunications subtype Equipment
SICAGEN,Trading,Trading
SICAL,Trading,Trading
SIEMENS,Misc,Instrumentation & Process Control
SIGNET,NA,NA
SILINV,Finance,Finance subtype Investments
SIMBHALS,NA,NA
SIMPLEXINF,Construction,Construction & Contracting subtype Civil
SINTEX,Diversified,Diversified
SITASHREE,Food Processing,Food Processing subtype Miscellaneous
SITINET,NA,NA
SIYSIL,Textiles,Textiles subtype Weaving
SJVN,Power,Generation Distribution
SKFINDIA,Auto Ancl,Bearings
SKIL,NA,NA
SKIPPER,NA,NA
SMARTLINK,NA,NA
SMLISUZU,Auto,Auto subtype LCVs HCVs
SMPL,NA,NA
SMSPHARMA,Pharmaceuticals,Pharmaceuticals
SNOWMAN,NA,NA
SOBHA,Construction,Construction and Contracting subtype Real Estate
SOLARINDS,Misc,Industrial Explosives
SOMANYCERA,Ceramics,Ceramics Tiles Sanitaryware
SOMICONVEY,NA,NA
SONASTEER,Auto Ancl,Auto Ancl subtype Gears & Drive
SONATSOFTW,Computers,Software
SORILHOLD,NA,NA
SORILINFRA,NA,NA
SOTL,Petrochem,Petrochem subtype Others
SOUTHBANK,Banks subtype Private,Finance subtype Banks subtype Private Sector
SPAL,NA,NA
SPARC,Misc,Miscellaneous
SPCENET,NA,NA
SPENTEX,Textiles,Textiles subtype Spinning subtype Cotton Blended
SPHEREGSL,NA,NA
SPIC,Fertilisers,Fertilisers subtype Nitrogenous Phosphate
SPICEMOBI,NA,NA
SPLIL,Textiles,Textiles subtype Readymade Apparels
SPYL,NA,NA
SQSBFSI,NA,NA
SREEL,NA,NA
SREINFRA,Finance,Finance subtype Leasing & Diversified
SRF,Textiles,Textiles subtype Manmade Fibre subtype Nylon
SRHHYPOLTD,Petrochem,Petrochem subtype Others
SRIPIPES,NA,NA
SRSLTD,NA,NA
SRTRANSFIN,Finance,Finance subtype Leasing & Hire Purchase
SSWL,Auto Ancl,Auto Ancl subtype Dr. Trans & Steer subtype Wheels
STAMPEDE,NA,NA
STAR,Pharmaceuticals,Pharmaceuticals
STARPAPER,Paper,Paper & Paper Boards
STCINDIA,Trading,Trading
STEL,Finance,Finance subtype Investments
STERLINBIO,Pharmaceuticals,Pharmaceuticals
STERTOOLS,Misc,Fasteners
STINDIA,Textiles,Textiles subtype Spinning subtype Cotton Blended
STRTECH,Cables,Cables subtype Telephone
SUBEX,Computers,Software
SUBROS,Auto Ancl,Auto Ancl subtype Equipment Others
SUDARSCHEM,Dyes,Dyes & Pigments
SUJANAUNI,Appliances,Domestic Appliances subtype Others
SUMEETINDS,Textiles,Textiles subtype Manmade Fibre subtype PPFY
SUMMITSEC,Finance,Finance subtype General
SUNCLAYLTD,NA,NA
SUNDARAM,NA,NA
SUNDARMFIN,Finance,Finance subtype Leasing & Hire Purchase
SUNDRMBRAK,NA,NA
SUNDRMFAST,Auto Ancl,Auto Ancl subtype Engine Parts
SUNFLAG,Steel,Steel subtype Rolling
SUNILHITEC,Power,Power subtype Transmission Equipment
SUNPHARMA,Pharmaceuticals,Pharmaceuticals
SUNTECK,Construction,Construction and Contracting subtype Real Estate
SUNTV,Entertainment,Entertainment Multi Media
SUPERHOUSE,NA,NA
SUPERSPIN,Textiles,Textiles subtype Spinning subtype Cotton Blended
SUPPETRO,Petrochem,Petrochem subtype Polymers
SUPRAJIT,Auto Ancl,Auto Ancl subtype Equipment Others
SUPREMEIND,Plastics,Plastics subtype Others
SUPREMEINF,Construction,Construction & Contracting subtype Civil
SUPREMETEX,Textiles,Textiles subtype Spinning subtype Cotton Blended
SURANASOL,NA,NA
SURANAT&P,Cables,Cables subtype Telephone
SURYALAXMI,Textiles,Textiles subtype Spinning subtype Cotton Blended
SURYAROSNI,Steel,Steel subtype Tubes Pipes
SUTLEJTEX,Textiles,Textiles subtype General
SUVEN,Pharmaceuticals,Pharmaceuticals
SUZLON,Engineering,Heavy
SWANENERGY,NA,NA
SWARAJENG,Engines,Engines
SWELECTES,NA,NA
SYMPHONY,NA,NA
SYNCOM,Pharmaceuticals,Pharmaceuticals
SYNDIBANK,Banks subtype PSU,Finance subtype Banks subtype Public Sector
SYNGENE,NA,NA
TAINWALCHM,Plastics,Plastics subtype Sheets Films
